x_cor,y_cor,number,frontX,frontY,corners1,corners2,corners3,corners4,corners5,corners6,corners7,corners8,order1,order2,order3,order4,frame,abdx_cor,adby_cor,distance1,distance2,distance3,headx_cor,heady_cor,distance4,distance5,distance6
3210.936137,2252.364486,2811,3202.440566,2242.026469,2251.864357,3190.319419,2274.412861,3209.645453,2255.177657,3232.463911,2232.188581,3214.561713,1,4,3,2,2138,3168.5,2206.318182,62.61859034,49.26503635,80.48993896,3247.045455,2280.5,45.7765219,58.90508171,29.22058255
2524.865635,1491.606678,2836,2532.878474,1474.440855,1467.248779,2514.28743,1502.21723,2500.319718,1518.999249,2535.764782,1481.632932,2551.469518,4,1,2,3,2138,2561.954545,1429.590909,72.26024356,53.45030996,93.16520234,2500.863636,1521.227273,38.12447517,56.69143369,34.97219013
3524.266442,2553.86425,2843,3519.119528,2572.77977,2530.871186,3513.390388,2567.510743,3501.5603,2578.048798,3536.678755,2541.541456,3547.123797,2,3,4,1,2138,3569.954545,2520.5,56.57363311,72.92032252,57.50709042,3504.5,2581.590909,34.0511361,17.06946839,51.49300202
2185.448931,2809.24228,2869,2192.596194,2793.484756,2786.141244,2174.28503,2819.971743,2160.970144,2836.112972,2195.626184,2800.828268,2210.907359,1,4,2,3,2138,2221.590909,2756.136364,64.23769108,47.2820884,84.08581827,2151.772727,2834.681818,42.20493803,57.99787417,43.87680297
3474.129285,2036.864838,2903,3463.36475,2049.368049,2012.298657,3473.671657,2036.079723,3450.260299,2062.656375,3476.469201,2038.383203,3498.997075,3,2,4,1,2138,3508.863636,1966.318182,78.63399976,94.69651065,57.90232752,3439.045455,2057.954545,40.93471515,25.79061956,57.30125675
3586.208781,2131.865591,2905,3596.70879,2118.84242,2108.984503,3581.521553,2137.408611,3561.627348,2156.93955,3590.678024,2128.700338,3611.896026,1,4,3,2,2138,3539.409091,2188.863636,73.74949597,90.47776619,60.3957844,3617.954545,2101.590909,43.86741304,27.36780553,61.70478669
2962.683532,3059.738095,2934,2975.572535,3073.864449,3059.803935,2938.509875,3085.922925,2962.845765,3061.805972,2988.299306,3035.001023,2964.463196,2,3,1,4,2138,3020.136364,3017.954545,71.04007971,71.49721714,91.72924874,2945.954545,3087.772727,32.64658597,32.72102603,28.94264135
2101.990489,1523.955163,2964,2093.398007,1516.510465,1530.435677,2082.025907,1545.712379,2102.759472,1517.96577,2124.740336,1502.585253,2104.770107,1,4,2,3,2138,2081.954545,1577.954545,57.5966348,62.50062266,73.68362757,2147.409091,1495.045455,53.83883945,58.12008173,32.23683215
2909.33967,1770.96071,2975,2903.109425,1782.299675,1745.605051,2907.03644,1769.723248,2891.297832,1794.876101,2914.921017,1769.876869,2928.260534,3,2,4,1,2138,2972.136364,1804.863636,71.36408834,72.62128253,88.03169832,2876.136364,1730.681818,52.20008325,58.24044225,34.31497671
3289.592184,2718.564128,2996,3301.213507,2733.052683,2716.794979,3264.853758,2743.797707,3287.017329,2722.307659,3315.409686,2695.036184,3292.274844,2,3,4,1,2138,3329.954545,2655.772727,74.64502817,82.45143323,89.22907498,3268.863636,2743.045455,32.07815517,33.85808069,26.55497257
3363.508475,2130.486903,3033,3379.773392,2122.800489,2123.18501,3338.875623,2156.527865,3356.361428,2139.602912,3388.330619,2105.998065,3371.216165,3,4,1,2,2138,3356.136364,2057.954545,72.90604159,69.01960183,98.57357653,3382.318182,2171.409091,45.03810116,48.67517004,29.91995889
2904.600379,1289.375,3036,2894.752415,1289.283759,1273.502189,2887.277432,1305.065328,2902.227399,1305.718489,2921.955,1273.395998,2907.161914,1,2,4,3,2138,2950.318182,1337.954545,66.70899303,73.86744818,77.65480977,2915.409091,1255.045455,35.99091481,39.98699421,20.11860794
2545.588452,1722.669533,3059,2531.734276,1719.312238,1706.754564,2541.446073,1731.869911,2522.022479,1740.062858,2550.982434,1715.427547,2570.930196,2,1,3,4,2138,2496.5,1756.863636,59.82401543,51.49331757,85.18687466,2583.772727,1743.772727,43.62778556,57.50057376,31.11880195
3082.948428,2331.976101,3063,3082.714623,2344.897744,2313.042177,3069.491165,2338.901934,3065.511493,2350.893553,3099.917753,2324.779153,3101.286976,2,3,4,1,2138,3151.045455,2328.5,68.18569017,70.27082271,83.00630375,3046.318182,2332.863636,36.64099659,38.33432769,30.49389125
2865.396504,1985.440662,3079,2848.018771,1981.980934,1964.404624,2852.579209,1999.557243,2843.458334,2008.624941,2879.929682,1974.913077,2889.538166,1,2,3,4,2138,2828.136364,2031.772727,59.45568356,53.61467013,83.68513139,2902.318182,1944.5,55.13028313,65.97913584,32.98915037
2122.917282,1947.759232,3085,2120.323489,1964.510692,1929.147931,2114.415818,1963.195104,2106.885603,1965.826279,2133.761374,1932.195042,2140.782968,3,2,1,4,2138,2125.590909,1865.954545,81.84836594,98.69680684,64.17387817,2138.681818,1983.772727,39.31275169,26.60928926,59.77212681
3254.801683,2526.371394,3095,3253.712306,2510.516488,2511.575197,3235.111445,2544.199195,3238.04235,2541.264262,3274.878399,2509.457778,3272.313167,4,1,2,3,2138,3260.136364,2577.227273,51.13491174,67.01938058,38.86728346,3273.227273,2485.590909,44.74986409,31.65625349,55.69783207
2723.604891,1919.462033,3107,2730.394038,1905.157253,1902.861467,2714.593488,1931.592767,2699.824028,1937.174122,2731.985174,1907.453039,2746.194589,1,4,3,2,2138,2688.5,1896.5,41.94768557,42.77918269,59.54279579,2771.409091,1935.772727,50.51019995,51.18145965,39.44881661
2263.847941,2957.351637,3112,2261.81794,2941.075222,2941.822058,2245.924905,2977.481391,2250.110456,2977.587587,2280.892961,2940.328386,2277.710974,4,1,2,3,2138,2212.863636,2952.5,51.21462374,50.26976624,72.50776474,2313.227273,2965.590909,50.0620018,56.95558278,34.48808511
2979.771261,2005.664223,3117,2989.488676,1997.856574,1985.711156,2976.051184,2000.822635,2955.857531,2025.755222,2982.671697,2010.001992,3002.926168,4,1,3,2,2138,3041.954545,2044.863636,73.50751583,70.44381717,62.28633576,2972.136364,1975.045455,31.5563089,28.6609475,51.79260307
2274.883495,2158.668932,3136,2282.162474,2176.444006,2146.759616,2252.22494,2182.608938,2264.274091,2170.279074,2300.050858,2134.931289,2288.894325,2,3,4,1,2138,2339.409091,2206.318182,80.21224042,64.57276119,105.5855053,2273.954545,2119.045455,39.63436534,57.98244387,35.21719008
3021.087698,2389.467722,3174,3036.097381,2402.087894,2365.270881,3020.106265,2387.310389,2998.30523,2413.375439,3025.122197,2390.80035,3047.072564,4,3,1,2,2138,2959.045455,2393.954545,62.20427273,77.48000169,39.81802066,3055.045455,2367.772727,40.29642718,39.19898227,60.00977689
2588.662791,2071.66196,3179,2590.876217,2091.473221,2051.389172,2571.316423,2091.384678,2572.286992,2091.561763,2609.465443,2052.840124,2607.085573,3,2,4,1,2138,2527.045455,2044.863636,67.19260578,79.03682444,44.74931611,2636.136364,2062.318182,48.38436029,53.8376924,65.73483032
3437.414634,1831.465447,3202,3439.193123,1848.812183,1811.158903,3420.688571,1847.618231,3421.870023,1850.006134,3456.516224,1814.425657,3455.438037,2,3,4,1,2138,3500.136364,1848.5,64.99377925,60.94403972,87.78558712,3399.772727,1817.954545,39.99321965,50.06157619,21.99211835
2334.559441,2579.545455,3242,2325.760908,2562.313173,2571.731582,2309.535158,2606.402817,2325.680782,2587.850339,2358.288409,2552.894764,2341.986657,4,1,3,2,2138,2391.772727,2577.227273,57.26023178,67.67562852,35.1290348,2295.772727,2590.318182,40.25494728,41.03134751,62.56437292
3231.039141,1419.724747,3037,3213.581588,1417.981775,1404.757783,3213.749344,1431.205768,3213.413832,1434.995586,3248.818633,1409.625265,3249.795973,2,1,4,3,4342,3281.954545,1464.5,67.80266667,82.6970771,63.60354037,3207.772727,1394.681818,34.18295386,24.01313944,44.60111882
